,Local_time,neighborhood,total_cars,weekday,hour,latitude,longitude
276913,2019-12-30 01:30:00+02:00,Tel Baruch North,14,0,1,32.123020000000004,34.82121
27636,2018-07-16 12:00:00+03:00,Shapira,40,0,12,32.05297,34.7767
306109,2020-01-15 03:30:00+02:00,The new north - the state square,33,2,3,32.090090000000004,34.78532
6844,2018-07-07 09:30:00+03:00,Lights,5,5,9,32.05558,34.80579
163495,2019-11-06 05:00:00+02:00,Neve Sharett,4,2,5,32.11919,34.83863
137250,2019-10-23 22:30:00+03:00,Ajami and Givat Aliya,16,2,22,32.04826,34.74916
122997,2019-10-16 13:00:00+03:00,Babylonian,28,2,13,32.09505,34.79913
336347,2020-01-31 14:00:00+02:00,Neve Eliezer and Kfar Shalem East,60,4,14,32.046440000000004,34.80737
24971,2018-07-14 15:30:00+03:00,Tzahala Gardens,6,5,15,32.1232,34.82747
252171,2019-12-18 09:30:00+02:00,Bitzaron and Ramat Israel,30,2,9,32.067618,34.797781
168061,2019-11-08 07:00:00+02:00,Tel Aviv Cardo,126,4,7,32.068993,34.782176
73476,2019-09-17 04:00:00+03:00,Neve Chen,36,1,4,32.05218,34.81299
50579,2018-11-26 07:30:00+02:00,Neve Ofer,51,0,7,32.0369,34.7625
17736,2018-07-12 07:00:00+03:00,Neot Afeka a,7,3,7,32.11543,34.82341
151299,2019-10-30 07:00:00+02:00,Jaffa Genoa Golan,64,2,7,32.036570000000005,34.75052
24321,2018-07-14 10:30:00+03:00,Neve Sha'anan,42,5,10,32.058374,34.775729
253696,2019-12-18 20:30:00+02:00,Kiryat Shalom,7,2,20,32.04189,34.77508
73615,2019-09-17 05:00:00+03:00,Neve Eliezer and Kfar Shalem East,3,1,5,32.04721,34.80849
88539,2019-09-23 20:30:00+03:00,Ramat Hahayal,39,0,20,32.11307,34.83393
163090,2019-11-05 23:00:00+02:00,Kiryat Shalom,38,1,23,32.0421,34.779484000000004
41738,2018-10-12 15:00:00+03:00,Neve Eliezer and Kfar Shalem East,27,4,15,32.05288,34.80529
11258,2018-07-10 01:30:00+03:00,Ajami and Givat Aliya,52,1,1,32.0479,34.751909999999995
198256,2019-11-22 14:00:00+02:00,Revivim,25,4,14,32.11693,34.82897
262267,2019-12-22 12:00:00+02:00,The new north - the southern part,70,6,12,32.08095,34.782709999999994
224366,2019-12-03 17:00:00+02:00,Neve Dan,7,1,17,32.11298,34.83101
232911,2019-12-06 09:00:00+02:00,Neot Afeka a,9,4,9,32.113690000000005,34.8224
270598,2019-12-28 02:30:00+02:00,Port of Tel Aviv,4,5,2,32.0966,34.7738
378881,2020-02-18 20:00:00+02:00,Neve Sha'anan,40,1,20,32.05896,34.78279000000001
52647,2018-11-26 23:00:00+02:00,Jaffa D,15,0,23,32.03365,34.75475
273643,2019-12-29 01:00:00+02:00,Sarona Gardens,7,6,1,32.070695,34.781803000000004
248456,2019-12-14 06:00:00+02:00,Hope,34,5,6,32.05207,34.78633
107546,2019-10-10 17:30:00+03:00,Kfir,5,3,17,32.0486,34.80422
236005,2019-12-07 08:00:00+02:00,Tel Aviv Cardo,157,5,8,32.068638,34.777958
63877,2018-12-03 10:00:00+02:00,Neot Afeka a,37,0,10,32.11575,34.82217
329800,2020-01-28 13:00:00+02:00,Fairgrounds,21,1,13,32.1034,34.8059
87295,2019-09-23 11:00:00+03:00,The New North - the northern part,29,0,11,32.091512,34.783599
124592,2019-10-17 00:30:00+03:00,Tel-Haim,16,3,0,32.06281,34.80578
353431,2020-02-05 21:00:00+02:00,Kiryat Shaul,3,2,21,32.12735,34.82173
32691,2018-07-19 07:00:00+03:00,The Woods Park,6,3,7,32.043820000000004,34.7699
337323,2020-01-31 21:00:00+02:00,The new north - the southern part,17,4,21,32.082233,34.78457
335637,2020-01-31 08:30:00+02:00,Sea views,40,4,8,32.117090000000005,34.78727
246044,2019-12-13 11:30:00+02:00,Old North - Southern part,92,4,11,32.079135,34.779073
285498,2020-01-04 18:00:00+02:00,Neve Sharett,52,5,18,32.116782,34.843358
206913,2019-11-26 06:30:00+02:00,North Jaffa,40,1,6,32.054935,34.760619
3527,2018-07-06 07:00:00+03:00,Kiryat Shalom,28,4,7,32.0421,34.779484000000004
238105,2019-12-08 00:00:00+02:00,Old North - Northern part,124,6,0,32.084926,34.773751000000004
276032,2019-12-29 19:00:00+02:00,Tel Baruch,25,6,19,32.11951,34.81364
160123,2019-11-04 00:00:00+02:00,Shapira,67,0,0,32.04895,34.78083
341113,2020-02-02 01:00:00+02:00,Tzahala Gardens,23,6,1,32.12556,34.82747
147329,2019-10-29 01:00:00+02:00,Neve Dan,9,1,1,32.11105,34.829809999999995
274580,2019-12-29 08:00:00+02:00,Revivim,66,6,8,32.11788,34.82882
162868,2019-11-05 21:00:00+02:00,The inheritance of Isaac,48,1,21,32.07537,34.7994
235857,2019-12-07 07:00:00+02:00,Old North - Northern part,112,5,7,32.09511,34.77792
115931,2019-10-14 07:30:00+03:00,Tzahalon and savings settlements,11,0,7,32.04873,34.752759999999995
217647,2019-12-01 15:30:00+02:00,Kfir,4,6,15,32.04742,34.7992
230853,2019-12-05 17:30:00+02:00,The new north - the state square,79,3,17,32.089229,34.786514000000004
269871,2019-12-26 21:00:00+02:00,Yarkon Park,10,3,21,32.10555,34.81943
4805,2018-07-06 16:30:00+03:00,Tzahalon and savings settlements,26,4,16,32.04497,34.75659
124188,2019-10-16 21:30:00+03:00,Tel Baruch North,19,2,21,32.12359,34.81788
160140,2019-11-04 00:00:00+02:00,Tzahalon and savings settlements,49,0,0,32.04711,34.75367
358722,2020-02-09 12:00:00+02:00,Port of Tel Aviv,1,6,12,32.0966,34.7738
142696,2019-10-26 15:00:00+03:00,Tzahala,16,5,15,32.12034,34.83612
274174,2019-12-29 05:00:00+02:00,North Star,12,6,5,32.1017,34.7917
295473,2020-01-10 20:30:00+02:00,Old Jaffa,74,4,20,32.0555,34.75428
155680,2019-11-01 15:30:00+02:00,Fairgrounds,13,4,15,32.1034,34.8059
252191,2019-12-18 09:30:00+02:00,Neve Avivim and its surroundings,75,2,9,32.11628,34.79455
41205,2018-10-12 11:00:00+03:00,Neve Sharett,16,4,11,32.11981,34.842220000000005
18386,2018-07-12 12:00:00+03:00,Fairgrounds,13,3,12,32.1034,34.8059
11208,2018-07-10 01:00:00+03:00,Givat Herzl,40,1,1,32.05428,34.77211
290496,2020-01-09 07:00:00+02:00,Spring Cliffs,40,3,7,32.125409999999995,34.79448
158950,2019-11-03 15:30:00+02:00,Sarona Gardens,4,6,15,32.072537,34.784071000000004
254596,2019-12-19 03:00:00+02:00,Sea views,41,3,3,32.11728,34.787240000000004
387659,2020-02-23 13:00:00+02:00,Neot Afeka b,42,6,13,32.1182,34.82117
275607,2019-12-29 16:00:00+02:00,Neve Ofer,54,6,16,32.03981,34.765229999999995
264578,2019-12-25 05:30:00+02:00,Tel Aviv Cardo,115,2,5,32.065732000000004,34.776003
281677,2020-01-03 13:30:00+02:00,Kfir,9,4,13,32.04744,34.80211
258368,2019-12-21 07:00:00+02:00,Nir Aviv,5,5,7,32.04787,34.81208
156854,2019-11-02 00:00:00+02:00,Neve Sharett,29,5,0,32.12332,34.84089
50455,2018-11-26 06:30:00+02:00,Old North - Northern part,131,0,6,32.095524,34.773635
62896,2018-12-03 02:30:00+02:00,Neve Barbur,7,0,2,32.05321,34.80056
307582,2020-01-15 14:30:00+02:00,Maoz Aviv,22,2,14,32.111740000000005,34.81501
234857,2019-12-06 23:30:00+02:00,Neve Tzedek,11,4,23,32.06134,34.762609999999995
366618,2020-02-13 00:30:00+02:00,Montefiore,103,3,0,32.06077,34.785779999999995
246980,2019-12-13 18:30:00+02:00,Ramat Hahayal,68,4,18,32.114940000000004,34.83348
381706,2020-02-19 17:00:00+02:00,The new north - the state square,71,2,17,32.08985,34.78658
126028,2019-10-17 11:00:00+03:00,Tel-Haim,16,3,11,32.065870000000004,34.80382
116465,2019-10-14 11:30:00+03:00,The new north - the southern part,35,0,11,32.080102000000004,34.785962
343415,2020-02-02 19:00:00+02:00,Jaffa College Tel Aviv and Dakar,12,6,19,32.047511,34.759492
117514,2019-10-14 19:30:00+03:00,Tel aviv university,95,0,19,32.116362,34.807152
85810,2019-09-22 00:00:00+03:00,North Star,6,6,0,32.101409999999994,34.78405
303497,2020-01-14 08:30:00+02:00,Old North - Northern part,72,1,8,32.094177,34.775399
222060,2019-12-03 00:00:00+02:00,Hope,41,1,0,32.052609999999994,34.78955
40797,2018-10-12 08:00:00+03:00,Neot Afeka a,71,4,8,32.11249,34.82236
311964,2020-01-17 23:00:00+02:00,Ezra and the crates,13,4,23,32.04312,34.79741
90268,2019-09-25 09:30:00+03:00,Neve Avivim and its surroundings,69,2,9,32.11595,34.79484
55850,2018-11-27 22:30:00+02:00,The new north - the state square,34,1,22,32.08732,34.79495
230932,2019-12-05 18:30:00+02:00,Hadar-Yosef,12,3,18,32.10779,34.82067
8283,2018-07-08 02:00:00+03:00,The inheritance of Isaac,25,6,2,32.0755,34.8014
217533,2019-12-01 14:30:00+02:00,Old Jaffa,11,6,14,32.05525,34.755109999999995
62335,2018-11-30 22:30:00+02:00,Jaffa D,48,4,22,32.03448,34.75316
176198,2019-11-12 19:30:00+02:00,Neve Avivim and its surroundings,26,1,19,32.117448,34.797333
368909,2020-02-13 17:30:00+02:00,Employment area - Holon Junction,5,3,17,32.04213,34.77162
263102,2019-12-22 18:30:00+02:00,Neve Avivim and its surroundings,73,6,18,32.11484,34.79609
356119,2020-02-08 17:00:00+02:00,Neve Barbur,20,5,17,32.04912,34.80415
69833,2019-09-16 01:00:00+03:00,Bitzaron and Ramat Israel,30,0,1,32.06425,34.79861
81367,2019-09-20 15:30:00+03:00,Ramat Aviv,28,4,15,32.10511,34.79523
268905,2019-12-26 14:00:00+02:00,Shapira,28,3,14,32.0497,34.78246
163601,2019-11-06 06:30:00+02:00,Neve Tzedek,3,2,6,32.061717,34.76710300000001
99230,2019-10-05 04:00:00+03:00,Ezra and the crates,20,5,4,32.04424,34.79586
384033,2020-02-22 10:30:00+02:00,Florentine,141,5,10,32.056237,34.769956
276396,2019-12-29 22:00:00+02:00,Hadar-Yosef,56,6,22,32.10885,34.82117
122417,2019-10-16 08:30:00+03:00,Old North - Northern part,118,2,8,32.0919,34.7822
180537,2019-11-14 03:30:00+02:00,Babylonian,52,3,3,32.09461,34.800709999999995
386439,2020-02-23 04:00:00+02:00,Neot Afeka b,36,6,4,32.119821,34.821159
200572,2019-11-23 07:00:00+02:00,Kiryat Shalom,48,5,7,32.04231,34.773270000000004
217027,2019-12-01 10:30:00+02:00,The inheritance of Isaac,48,6,10,32.078621000000005,34.797969
143123,2019-10-26 18:30:00+03:00,Neve Avivim and its surroundings,116,5,18,32.117448,34.797333
181733,2019-11-14 12:00:00+02:00,The nursery,85,3,12,32.12683,34.83168
366441,2020-02-12 23:00:00+02:00,Ramat Aviv c,45,2,23,32.12745,34.79777
349863,2020-02-04 19:00:00+02:00,Atidim,108,1,19,32.106652000000004,34.835506
212808,2019-11-30 03:00:00+02:00,Ezra and the crates,26,5,3,32.0466,34.79293
367882,2020-02-13 10:00:00+02:00,Bitzaron and Ramat Israel,127,3,10,32.066956,34.793493
121910,2019-10-16 04:30:00+03:00,Yarkon Park,39,2,4,32.106567,34.832598
97365,2019-10-04 14:00:00+03:00,Revivim,9,4,14,32.11758,34.82658
378391,2020-02-18 16:00:00+02:00,Tzahala Gardens,62,1,16,32.12486,34.82535
360937,2020-02-11 05:00:00+02:00,Givat Herzl,39,1,5,32.04736,34.76888
168207,2019-11-08 08:00:00+02:00,Tzahalon and savings settlements,13,4,8,32.03829,34.75316
44993,2018-10-14 14:30:00+03:00,Tzahala,31,6,14,32.11907,34.8332
225957,2019-12-04 05:00:00+02:00,Jaffa College Tel Aviv and Dakar,31,2,5,32.04602,34.76019
321939,2020-01-23 01:30:00+02:00,Old North - Southern part,28,3,1,32.078959999999995,34.773268
200396,2019-11-23 05:30:00+02:00,Sea views,44,5,5,32.11476,34.78563
241279,2019-12-09 23:30:00+02:00,The Yemenite Vineyard,22,0,23,32.07093,34.76745
302407,2020-01-13 00:30:00+02:00,Ramat Hahayal,30,0,0,32.113690000000005,34.836009999999995
298825,2020-01-11 22:00:00+02:00,Employment area - Holon Junction,11,5,22,32.04019,34.77153
325439,2020-01-27 04:00:00+02:00,Level of pilots,10,0,4,32.05768,34.81082
79611,2019-09-19 02:30:00+03:00,Neve Barbur,1,3,2,32.05328,34.80079
61850,2018-11-30 19:00:00+02:00,Florentine,84,4,19,32.057382000000004,34.767238
182068,2019-11-14 14:30:00+02:00,The inheritance of Isaac,14,3,14,32.0755,34.8014
84197,2019-09-21 12:00:00+03:00,The New North - the northern part,15,5,12,32.095042,34.792425
270157,2019-12-26 23:30:00+02:00,Jaffa D,47,3,23,32.0321,34.75413
279484,2020-01-02 21:30:00+02:00,Hope,55,3,21,32.05038,34.79145
354831,2020-02-08 07:00:00+02:00,The new north - the state square,32,5,7,32.085348,34.783269
384812,2020-02-22 16:00:00+02:00,Neve Chen,16,5,16,32.049609999999994,34.81251
73796,2019-09-17 06:30:00+03:00,Jaffa Genoa Golan,10,1,6,32.0344,34.74675
242874,2019-12-10 11:30:00+02:00,Neve Ofer,79,1,11,32.03975,34.76843
262956,2019-12-22 17:30:00+02:00,Givat Herzl,13,6,17,32.050787,34.771715
34083,2018-07-19 18:00:00+03:00,Ramat Aviv c,54,3,18,32.12729,34.804390000000005
1986,2018-07-04 18:30:00+03:00,Babylonian,20,2,18,32.096470000000004,34.794909999999994
274623,2019-12-29 08:30:00+02:00,Lights,15,6,8,32.05396,34.80268
307137,2020-01-15 11:00:00+02:00,The Ayalon Highlands,2,2,11,32.0887,34.7969
361715,2020-02-11 10:30:00+02:00,The new north - the southern part,50,1,10,32.079221000000004,34.788357
94786,2019-10-03 19:00:00+03:00,Neve Avivim and its surroundings,37,3,19,32.117448,34.797333
26969,2018-07-16 07:00:00+03:00,Spring Cliffs,10,0,7,32.13233,34.79595
342297,2020-02-02 10:00:00+02:00,Shapira,83,6,10,32.04805,34.78294
110029,2019-10-12 11:30:00+03:00,Tzahala,40,5,11,32.12001,34.83336
314279,2020-01-20 16:30:00+02:00,Givat Herzl,14,0,16,32.05446,34.766690000000004
276616,2019-12-29 23:30:00+02:00,Neve Chen,23,6,23,32.05218,34.81299
39739,2018-10-11 00:00:00+03:00,Jaffa College Tel Aviv and Dakar,50,3,0,32.03907,34.7565
315755,2020-01-21 03:30:00+02:00,Jaffa College Tel Aviv and Dakar,56,1,3,32.04466,34.76081
93701,2019-10-03 11:00:00+03:00,Nir Aviv,2,3,11,32.04564,34.81203
210628,2019-11-29 10:30:00+02:00,Kfir,6,4,10,32.04939,34.80272
330730,2020-01-28 20:00:00+02:00,Kfir,7,1,20,32.04775,34.80243
188223,2019-11-18 11:30:00+02:00,The new north - the state square,41,0,11,32.086678000000006,34.791337
218402,2019-12-01 21:00:00+02:00,Neve Barbur,18,6,21,32.04925,34.80401
234758,2019-12-06 22:30:00+02:00,Yad Eliyahu,36,4,22,32.05598,34.797090000000004
44044,2018-10-14 08:00:00+03:00,Jaffa Genoa Golan,27,6,8,32.03268,34.74758
246004,2019-12-13 11:00:00+02:00,Yad Eliyahu,41,4,11,32.05915,34.789320000000004
95306,2019-10-03 22:30:00+03:00,Tzahala Gardens,69,3,22,32.11928,34.83014
212375,2019-11-29 23:30:00+02:00,Plan for,20,4,23,32.1049,34.7892
98119,2019-10-04 19:30:00+03:00,Tel-Haim,36,4,19,32.06511,34.80283
197867,2019-11-22 11:00:00+02:00,The new north - the state square,34,4,11,32.089229,34.786514000000004
122421,2019-10-16 08:30:00+03:00,Ramat Aviv,41,2,8,32.104890000000005,34.7991
70952,2019-09-16 09:30:00+03:00,Bitzaron and Ramat Israel,16,0,9,32.068052,34.802363
227094,2019-12-04 13:30:00+02:00,Afeka,38,2,13,32.11922,34.80845
184255,2019-11-17 06:30:00+02:00,Neve Eliezer and Kfar Shalem East,1,6,6,32.05212,34.80652
324097,2020-01-26 17:30:00+02:00,The Yemenite Vineyard,21,6,17,32.069777,34.766401
322411,2020-01-26 05:00:00+02:00,North Star,25,6,5,32.09905,34.78382
304507,2020-01-14 16:00:00+02:00,Glilot,118,1,16,32.14301,34.79391
285034,2020-01-04 14:30:00+02:00,Nir Aviv,16,5,14,32.046479999999995,34.81005
151859,2019-10-30 11:00:00+02:00,Old Jaffa,62,2,11,32.050287,34.752289000000005
17414,2018-07-12 04:30:00+03:00,Neve Sha'anan,19,3,4,32.0606,34.7809
261211,2019-12-22 04:30:00+02:00,Florentine,43,6,4,32.05529,34.77087
272524,2019-12-28 17:00:00+02:00,Fairgrounds,5,5,17,32.1034,34.8059
75724,2019-09-17 21:30:00+03:00,Level of pilots,13,1,21,32.057990000000004,34.811170000000004
252416,2019-12-18 11:00:00+02:00,Port of Tel Aviv,5,2,11,32.0966,34.7738
29929,2018-07-17 06:30:00+03:00,Revivim,20,1,6,32.116209999999995,34.832840000000004
287039,2020-01-06 05:30:00+02:00,Old Jaffa,18,0,5,32.051513,34.749902
304204,2020-01-14 13:30:00+02:00,Spring Cliffs,19,1,13,32.12715,34.793620000000004
105987,2019-10-10 05:30:00+03:00,Hope,74,3,5,32.04806,34.79414000000001
4731,2018-07-06 16:00:00+03:00,The New North - the northern part,11,4,16,32.093315000000004,34.784909000000006
